"","state","st","raperate","murderrate","abort","density","ineq","region","gunfree","alcfree","mjfree","marrfree","freedom","knowgov","evangel","poptotal","stuspend","ptratio","hsdiploma","democrat","pid","house","senate","inc","minwage","year","polscore","newimmig","popover65","percwom","medinc","turnout","margin","co2","femleg","corrupt","infant","trumpwin","weed","death","stand","obamawin","res","pred"
"33","North Carolina","NC",24.6,5.3,20,156.789,45.89,"South",-0.019163,-0.010907,-0.007525,-0.009304,16.3817,45.49,27.9,9200000,5397,14.12,79.2,33.54946,0.042705,0,0.884,36164,7.25,2016,-0.039145,17571,1200000,83.58,45206,0.65,50.7218,142,22.9,13,8.81,1,0,1,0,0,4.74055703663764,18.1594429633624
"34","North Dakota","ND",34.8,1.5,9.4,9.15219,41.8073,"Midwest",0.520586,0.012831,-0.007068,-0.009304,66.6289,69.4,12.7,641481,5721,11.36,85.5,21.93804,0,0,0.731,45747,7.25,2016,0.045354,948,97477,88.44,56361,0.61,26.9576,53,16.3,2,5.96,1,1,0,1,0,-5.00338022354009,21.3033802235401
"35","Ohio","OH",34.8,4.5,17,274.728,44.07672,"Midwest",0.431345,-0.002263,0.014765,-0.009304,-7.11646,44.75,13.4,1.1e+07,6210,15.84,87,32.63924,0.092391,0,0.723,37791,7.95,2016,-0.09186,13857,1600000,83.63,44648,0.65,36.977,249,18.2,31,8.18,1,1,1,0,1,-6.38026569076023,24.5802656907603
"36","Oklahoma","OK",41.5,6.2,12,48.8209,43.44616,"South",0.608811,0.002966,-0.020651,-0.009304,47.9143,66.99,42,3600000,4508,15.37,86.1,31.96171,-0.00813,1,1.07,37277,7.25,2016,-0.018385,4503,506714,78.56,48455,0.49,64.2117,102,14.8,24,7.96,1,0,1,1,0,-5.99593477824934,20.7959347782494
"37","Oregon","OR",30.5,2.2,22,34.4756,46.40405,"West",0.390445,-0.011894,0.027014,0.040064,8.04556,62.51,15.5,3800000,5594,20.26,88.1,32.45767,0.031496,1,-0.525,37909,9.1,2016,-0.025497,7694,533533,79.93,51526,0.63,40.7954,41,27.8,7,6,0,1,0,0,1,1.34611140269902,26.453888597301
"38","Pennsylvania","PA",29,5.2,15,266.735,45.64734,"Northeast",0.237176,-0.028055,0.003518,-0.010426,-3.93768,71.37,8.9,1.2e+07,7437,13.64,85.7,35.92682,0.058685,1,0.301,42478,7.25,2016,-0.135288,25397,2e+06,81.63,49910,0.59,54.098,258,13.4,37,7.29,1,1,0,1,1,-12.2681400298277,25.6681400298277
"39","Rhode Island","RI",27.3,2.9,24,944.709,43.57182,"Northeast",-1.34132,0.01579,0.000486,-0.009304,-40.442,65.96,2.9,1100000,8812,12.77,81.3,33.61103,0.321429,-1,-0.475,43992,8,2016,-0.141994,3681,151881,81.35,49033,0.58,48.4569,12,16.8,8,6.46,0,1,0,0,1,-1.64430746881101,18.444307468811
"40","South Carolina","SC",35.3,6.3,12,128.569,48.73758,"South",0.137091,0.002464,-0.012482,-0.009678,24.932,58.81,31.3,4500000,5329,15.39,83,30.18004,0.023622,-1,0.465,33673,7.25,2016,-0.092173,4216,631874,78.84,40084,0.57,74.2572,77,8.8,11,9.46,1,0,1,1,0,-10.3363915478276,19.1363915478276
"41","South Dakota","SD",54.8,2.6,6.5,9.65045,40.64591,"Midwest",0.72682,0.012144,-0.004711,-0.009304,61.329,71.31,15.7,804194,4958,13.27,91.8,26.079,-0.035714,-1,0.678,41590,7.25,2016,-0.001346,1337,116581,82.47,47223,0.59,30.0868,13,16.2,8,6.97,1,0,1,1,0,-10.4924206447621,26.6924206447621
"42","Tennessee","TN",31.7,7.3,15,132.695,46.60521,"South",0.666007,-0.008363,-0.017594,-0.009304,60.7819,68.25,38.3,6200000,5016,14.88,79.9,32.51792,0.026455,1,0.966,36533,7.25,2016,-0.174499,8279,853462,84.97,42279,0.52,55.4677,123,16.7,17,8.77,1,0,1,1,0,-0.120809417222505,16.8208094172225
"43","Texas","TX",33.4,5.4,21,76.4647,48.96848,"South",0.679805,0.016849,-0.019341,-0.010426,27.475,60.07,26.9,2.4e+07,5138,14.56,79.2,25.49209,-0.068817,0,0.803,39593,7.25,2016,-0.02231,94481,2600000,84.79,49047,0.5,58.1329,668,19.9,88,6.55,1,0,1,1,0,4.12078111499006,15.77921888501
"44","Utah","UT",32.5,1.3,7.8,2.59451,41.46339,"West",0.694314,-0.054621,-0.001036,-0.009304,35.709,67.89,71.4,2700000,4275,22.31,90.7,17.72962,-0.394737,0,0.841,33790,7.25,2016,0.005472,6426,249462,72.61,55493,0.55,37.5617,62,21.2,2,4.52,1,0,1,1,0,6.80872352915628,14.3912764708438
"45","Vermont","VT",19.9,1.1,17,64.0984,41.30258,"Northeast",0.789881,-0.022619,0.012354,0.041186,-34.0175,69.76,4.3,621270,9418,10.47,90,34.50997,-0.041667,0,-0.823,41832,8.73,2016,0.003219,943,91078,80.54,51862,0.6,36.0267,7,33.3,5,6.49,0,1,0,0,1,3.26720601409618,30.0327939859039
"46","Virginia","VA",19.2,4.4,19,172.775,42.19331,"South",0.365951,-0.013897,-0.020651,-0.009304,37.2659,35.25,20.3,7800000,6631,17.58,86.6,28.64584,0.087719,0,-0.381,45920,7.25,2016,-0.009105,27767,976937,85.96,62616,0.66,58.2906,119,17.1,57,7.47,0,0,1,0,1,-5.29769180908167,22.3976918090817
"47","Washington","WA",38.1,2.7,21,86.4654,45.31565,"West",0.083145,-0.039118,0.029419,0.040064,5.58229,64.01,16.2,6500000,5830,19.37,91.8,32.54809,0.133971,0,-0.036,44294,9.32,2016,-0.036373,23789,827677,74.52,56850,0.64,38.6567,81,33.3,7,5.07,0,1,0,0,1,4.72817691662321,28.5718230833768
"48","West Virginia","WV",23.8,4.6,6.6,75.0727,43.40893,"South",0.690476,-0.003189,0.001718,-0.009304,-29.3755,66.1,14.4,1800000,6456,13.93,77.1,28.28331,0.067797,0,-0.143,33513,7.25,2016,-0.017356,830,297404,83.59,41821,0.46,39.5242,103,15.7,5,8.17,1,0,0,1,0,-1.6077283582625,17.3077283582625
"49","Wisconsin","WI",19.6,2.5,12,96.394,42.37904,"Midwest",0.241787,0.017964,-0.004482,0.014071,-19.8776,76.22,14.6,5600000,6846,14.93,86.7,33.02502,0.140845,0,0.629,40073,7.25,2016,-0.026931,6245,777314,74.65,52058,0.73,41.7501,106,25.8,10,6.54,1,0,1,0,1,0.337927726891953,25.4620722731081
"50","Wyoming","WY",33.8,2.4,2.7,4.93812,50.67978,"West",0.924079,0.005483,-0.005137,-0.009304,-15.8415,75.59,21.7,532668,8602,12.3,90,20.19835,-0.2,1,0.349,47301,5.15,2016,0.081494,420,70090,69.73,54509,0.59,70.7055,62,15.6,5,6.64,1,0,1,0,0,-6.77034531060364,22.3703453106037
